player_url,player,season_from,season_to,position,height,weight,birth_date,college,is_active,hall_of_fame
/players/b/bobbito01.html,Tony Bobbitt,2005,2005,G,6-4,190,October 22 1979,Cincinnati,retired,no
/players/b/bockhbu01.html,Bucky Bockhorn,1959,1965,G,6-4,200,July 8 1933,Dayton,retired,no
/players/b/boehebu01.html,Buddy Boeheim,2023,2023,G,6-6,205,November 11 1999,Syracuse,active,no
/players/b/boerwto01.html,Tom Boerwinkle,1969,1978,C,7-0,265,August 23 1945,Tennessee,retired,no
/players/b/boganke01.html,Keith Bogans,2004,2014,G-F,6-5,215,May 12 1980,Kentucky,retired,no
/players/b/bogdabo01.html,Bogdan Bogdanović,2018,2024,G,6-5,220,August 18 1992,,active,no
/players/b/bogdabo02.html,Bojan Bogdanović,2015,2024,G-F,6-7,226,April 18 1989,,active,no
/players/b/boguemu01.html,Muggsy Bogues,1988,2001,G,5-3,136,January 9 1965,Wake Forest,retired,no
/players/b/bogutan01.html,Andrew Bogut,2006,2019,C,7-0,260,November 28 1984,Utah,retired,no
/players/b/bohanet01.html,Etdrick Bohannon,1998,2001,F,6-9,220,May 29 1973,Arizona,retired,no
/players/b/bolbo01.html,Bol Bol,2020,2024,F-C,7-3,220,November 16 1999,Oregon,active,no
/players/b/bolma01.html,Manute Bol,1986,1995,C,7-7,200,October 16 1962,University of Bridgeport,retired,no
/players/b/boldejo01.html,Jonah Bolden,2019,2020,F,6-8,220,January 2 1996,UCLA,retired,no
/players/b/boldema01.html,Marques Bolden,2020,2024,C,6-10,249,April 17 1998,Duke,active,no
/players/b/bolgebi01.html,Bill Bolger,1954,1954,F,6-5,205,August 21 1931,Georgetown,retired,no
/players/b/bolmale01.html,Leandro Bolmaro,2022,2023,F,6-6,200,September 11 2000,,active,no
/players/b/bolomjo01.html,Joel Bolomboy,2017,2018,F,6-9,235,January 28 1994,Weber State,retired,no
/players/b/bolstdo01.html,Doug Bolstorff,1958,1958,G,6-4,195,October 29 1931,Minnesota,retired,no
/players/b/bonsage01.html,George Bon Salle,1962,1962,F,6-8,220,July 1 1935,Illinois,retired,no
/players/b/bondph01.html,Phil Bond,1978,1978,G,6-2,175,July 27 1954,Louisville,retired,no
/players/b/bondwa01.html,Walter Bond,1993,1995,G,6-5,200,February 1 1969,Minnesota,retired,no
/players/b/bonejo01.html,Jordan Bone,2020,2021,G,6-2,180,November 5 1997,Tennessee,active,no
/players/b/boneyde01.html,Dexter Boney,1997,1997,G,6-4,185,April 27 1970,UNLV,retired,no
/players/b/bongais01.html,Isaac Bonga,2019,2022,G,6-8,180,November 8 1999,,retired,no
/players/b/bonharo01.html,Ron Bonham,1965,1968,F,6-5,192,May 31 1942,Cincinnati,retired,no
/players/b/bonnean01.html,Anthony Bonner,1991,1996,F,6-8,215,June 8 1968,Saint Louis,retired,no
/players/b/bonnema01.html,Matt Bonner,2005,2016,F,6-10,235,April 5 1980,Florida,retired,no
/players/b/bookebu01.html,Butch Booker,1970,1970,C,6-10,230,July 20 1945,Cheyney (PA),retired,no
/players/b/bookede01.html,Devin Booker,2016,2024,G,6-6,206,October 30 1996,Kentucky,active,no
/players/b/bookeme01.html,Melvin Booker,1996,1997,G,6-2,185,August 20 1972,Missouri,retired,no
/players/b/booketr01.html,Trevor Booker,2011,2018,F,6-8,228,November 25 1987,Clemson,retired,no
/players/b/boonejo01.html,Josh Boone,2007,2010,F-C,6-10,237,November 21 1984,UConn,retired,no
/players/b/boonero01.html,Ron Boone,1969,1981,G-F,6-2,200,September 6 1946,Iowa Western Community College- Clarinda Campus,retired,no
/players/b/boothca01.html,Calvin Booth,2000,2009,C,6-11,230,May 7 1976,Penn State,retired,no
/players/b/boothke01.html,Keith Booth,1998,1999,F,6-6,226,October 9 1974,Maryland,retired,no
/players/b/boozebo01.html,Bob Boozer,1961,1971,F,6-8,215,April 26 1937,Kansas State,retired,no
/players/b/boozeca01.html,Carlos Boozer,2003,2015,F-C,6-9,258,November 20 1981,Duke,retired,no
/players/b/borchcu01.html,Curtis Borchardt,2004,2005,C,7-0,240,September 13 1980,Stanford,retired,no
/players/b/bornhja01.html,Jake Bornheimer,1949,1950,F-C,6-5,200,June 29 1927,Muhlenberg College,retired,no
/players/b/borrela01.html,Lazaro Borrell,2000,2000,F,6-8,220,September 20 1972,,retired,no
/players/b/borsaik01.html,Ike Borsavage,1951,1951,C-F,6-8,220,July 25 1924,Temple,retired,no
/players/b/borylvi01.html,Vince Boryla,1950,1954,F,6-5,210,March 11 1927,Notre Dame,retired,no
/players/b/boshch01.html,Chris Bosh,2004,2016,F-C,6-11,235,March 24 1984,Georgia Tech,retired,yes
/players/b/bostiji01.html,Jim Bostic,1978,1978,F,6-7,225,January 28 1953,New Mexico State,retired,no
/players/b/bostobr01.html,Brandon Boston Jr.,2022,2024,G-F,6-7,185,November 28 2001,Kentucky,active,no
/players/b/bostola01.html,Lawrence Boston,1980,1980,F,6-8,225,May 18 1956,Vincennes University,retired,no
/players/b/bosweto01.html,Tom Boswell,1976,1984,F-C,6-9,220,October 2 1953,South Carolina State,retired,no
/players/b/bouchch01.html,Chris Boucher,2018,2024,F,6-9,200,January 11 1993,Oregon,active,no
/players/b/bouknja01.html,James Bouknight,2022,2024,G,6-5,190,September 18 2000,UConn,active,no
/players/b/boumtru01.html,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,May 20 1978,Georgetown,retired,no
/players/b/bouyeja01.html,Jamaree Bouyea,2023,2024,G,6-2,180,June 27 1999,San Francisco,active,no
/players/b/bovendo01.html,Don Boven,1950,1953,F-G,6-4,210,March 6 1925,Western Michigan,retired,no
/players/b/bowdlca01.html,Cal Bowdler,2000,2002,F,6-10,245,March 31 1977,Old Dominion,retired,no
/players/b/bowenbr02.html,Brian Bowen,2020,2021,F,6-6,190,October 2 1998,,retired,no
/players/b/bowenbr01.html,Bruce Bowen,1997,2009,F,6-7,185,June 14 1971,Cal State Fullerton,retired,no
/players/b/bowenry01.html,Ryan Bowen,2000,2010,F,6-7,215,November 20 1975,Iowa,retired,no
/players/b/bowento01.html,Tommie Bowens,1968,1970,F-C,6-8,220,July 7 1940,Grambling State University,retired,no
/players/b/bowiean01.html,Anthony Bowie,1989,1998,G-F,6-6,190,November 9 1963,Oklahoma,retired,no
/players/b/bowiesa01.html,Sam Bowie,1985,1995,C-F,7-1,235,March 17 1961,Kentucky,retired,no
